Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
E437468023,شقة,4,3,234,820000,غرب,العوالي,شركة نجمة التميز للعقارات
M094741666,شقة,2,2,103,610000,شرق,القادسية,إسكان سلمان للتسويق العقاري
R219208366,دور,3,4,236,1300000,شرق,الرمال,مؤسسة وسام المساكن العقارية
P001048877,فیلا,5,6,900,9000000,شمال,الملقا,مكتب مساكن العاصمة
D357685465,فیلا,5,5,300,3400000,شمال,الصحافة,شركة راكز العقارية
Q666681674,دور,7,4,205,590000,جنوب,العزيزية,إسكان سلمان للتسويق العقاري
V191922328,فیلا,4,4,182,1280000,شرق,الرمال,مكتب شريط للعقارات
R272476809,دور,3,3,168,1200000,شرق,المونسية,مكتب عبدالله بن فيحان بن محمد العتيبي للعقارات
S314762314,شقة,3,3,166,440000,جنوب,بدر,شركة نجمة التميز للعقارات
Z227283547,شقة,3,3,128,550000,غرب,الزهرة,شركة نجمة التميز للعقارات
C271342616,فیلا,4,5,475,4700000,شمال,الياسمين,شركة راكز العقارية
O065063995,فیلا,8,6,437,2800000,شرق,المونسية,مكتب الهمم العالية للعقارات
E727594817,دور,3,5,301,1700000,شرق,المونسية,مؤسسة وسام المساكن العقارية
X468237196,شقة,3,4,124,580000,غرب,السويدي,شركة نجمة التميز للعقارات
I067502048,فیلا,4,6,496,4400000,شرق,المونسية,مكتب عبدالله بن فيحان بن محمد العتيبي للعقارات
R750563705,شقة,3,3,131,430000,جنوب,بدر,شركة نجمة التميز للعقارات
G315034386,دور,4,3,214,740000,جنوب,بدر,شركة نجمة التميز للعقارات
D355129692,دور,3,2,621,1500000,شرق,المونسية,مؤسسة وسام المساكن العقارية
