Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
K600054376,شقة,4,5.0,2162.0,1373000.0,شمال,العارض,مؤسسة وسام المساكن العقارية
N062087818,دور,3,4.0,1402.0,949000.0,شرق,الرمال,شركة ترف للتطوير والاستثمار العقاري
D104698284,شقة,4,3.0,1772.0,450000.0,جنوب,بدر,شركة نجمة التميز للعقارات
S904625500,دور,3,3.0,5002.0,950000.0,غرب,شبرا,شركة نجمة التميز للعقارات
X564268706,شقة,5,3.0,1282.0,550000.0,غرب,الزهرة,شركة نجمة التميز للعقارات
N958226528,دور,4,3.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
U934146095,دور,4,4.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
O424839322,دور,4,4.0,2142.0,1430000.0,شمال,العارض,مؤسسة منازل النرجس للتطوير العقاري
E940246066,دور,4,3.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
E739553712,شقة,5,4.0,1712.0,650000.0,غرب,طويق,مكتب عبدالرحمن عبدالله الهويمل للعقارات
R135067827,شقة,4,3.0,1472.0,1300000.0,شمال,الملقا,شركة العمار العقارية
Z952751472,دور,3,3.0,5002.0,800000.0,غرب,شبرا,شركة نجمة التميز للعقارات
C013290657,دور,3,3.0,2142.0,760000.0,جنوب,بدر,شركة نجمة التميز للعقارات
K018925967,دور,4,4.0,2142.0,760000.0,جنوب,بدر,شركة نجمة التميز للعقارات
C744104276,شقة,3,3.0,1312.0,420000.0,جنوب,الدار البيضاء,شركة نجمة التميز للعقارات
U958414783,شقة,4,3.0,1902.0,1250000.0,شمال,النرجس,شركة رايات نجد للتطوير العقاري
G806519368,شقة,3,4.0,11552.0,1200000.0,شمال,العارض,شركة رايات نجد للتطوير العقاري
X627474393,دور,3,3.0,5002.0,860000.0,غرب,شبرا,شركة نجمة التميز للعقارات
A906369951,شقة,3,3.0,31502.0,1240000.0,شمال,العارض,شركة رفاه العقارية
E562543978,شقة,3,3.0,31502.0,1235000.0,شمال,العارض,شركة رفاه العقارية
W524274354,شقة,4,4.0,1632.0,2100000.0,شمال,حطين,مكتب محترفون للعقارات
G861017665,شقة,3,3.0,1462.0,1019000.0,شرق,الملك فيصل,شركة إثراء الأولى العقارية
Q645049391,شقة,2,2.0,1442.0,1160000.0,شمال,النرجس,شركة إثراء الأولى العقارية
I885190007,عمارة,11,10.0,3362.0,5300000.0,شمال,الورود,مكتب أحياء المدينة للخدمات العقارية
W778427702,دور,3,4.0,5402.0,1450000.0,شرق,المونسية,مؤسسة وسام المساكن العقارية
C195758869,شقة,3,3.0,1382.0,550000.0,غرب,السويدي,شركة نجمة التميز للعقارات
